layer_name,M,num_parameters,quantization_error,compression_ratio
conv1,4,144,0.321092,8.0000
layer1.0.conv1,4,2304,1.050892,8.0000
layer1.0.conv2,4,2304,1.016920,8.0000
layer1.1.conv1,4,2304,1.134016,8.0000
layer1.1.conv2,4,2304,1.081414,8.0000
layer1.2.conv1,4,2304,1.025206,8.0000
layer1.2.conv2,4,2304,1.061976,8.0000
layer2.0.conv1,4,4608,1.101385,8.0000
layer2.0.conv2,4,9216,1.543204,8.0000
layer2.1.conv1,4,9216,1.531346,8.0000
layer2.1.conv2,4,9216,1.461471,8.0000
layer2.2.conv1,4,9216,1.551763,8.0000
layer2.2.conv2,4,9216,1.420865,8.0000
layer3.0.conv1,4,18432,1.535843,8.0000
layer3.0.conv2,4,36864,2.058749,8.0000
layer3.1.conv1,4,36864,2.001957,8.0000
layer3.1.conv2,4,36864,2.003785,8.0000
layer3.2.conv1,4,36864,1.738261,8.0000
layer3.2.conv2,4,36864,1.781289,8.0000
fc,4,640,0.317421,8.0000
